"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.10.2024","6.550,32","6.672,61","6.680,98","6.550,08","","-1,83%"
"29.10.2024","6.672,61","6.735,46","6.752,67","6.660,71","","-0,93%"
"28.10.2024","6.735,46","6.754,69","6.780,84","6.731,71","","-0,28%"
"25.10.2024","6.754,69","6.725,80","6.776,85","6.723,41","","0,43%"
"24.10.2024","6.725,80","6.686,98","6.741,62","6.686,98","","0,58%"
"23.10.2024","6.686,98","6.674,66","6.722,26","6.666,83","","0,18%"
"22.10.2024","6.674,66","6.671,07","6.689,11","6.664,45","","0,05%"
"21.10.2024","6.671,07","6.643,52","6.671,10","6.625,27","","0,41%"
"18.10.2024","6.643,52","6.571,59","6.649,46","6.571,59","","1,09%"
"17.10.2024","6.571,59","6.542,64","6.582,29","6.526,79","","0,44%"
"16.10.2024","6.542,64","6.558,98","6.596,61","6.540,45","","-0,25%"
"15.10.2024","6.558,98","6.572,00","6.572,00","6.521,65","","-0,20%"
"14.10.2024","6.572,00","6.572,95","6.573,24","6.525,44","","-0,01%"
"11.10.2024","6.572,95","6.578,77","6.578,77","6.543,71","","-0,09%"
"10.10.2024","6.578,77","6.541,29","6.578,77","6.525,93","","0,57%"
"09.10.2024","6.541,29","6.492,75","6.547,71","6.492,75","","0,75%"
"08.10.2024","6.492,75","6.475,15","6.506,83","6.433,05","","0,27%"
"07.10.2024","6.475,15","6.480,93","6.519,74","6.436,97","","-0,09%"
"04.10.2024","6.480,93","6.389,82","6.480,93","6.389,82","","1,43%"
"03.10.2024","6.389,82","6.392,09","6.398,11","6.336,11","","-0,04%"
"02.10.2024","6.392,09","6.448,86","6.462,28","6.391,80","","-0,88%"
"01.10.2024","6.448,86","6.490,57","6.496,94","6.417,82","","-0,64%"
"30.09.2024","6.490,57","6.530,73","6.548,79","6.480,44","","-0,61%"
"27.09.2024","6.530,73","6.529,98","6.583,78","6.529,98","","0,01%"
"26.09.2024","6.529,98","6.440,87","6.529,98","6.440,87","","1,38%"
"25.09.2024","6.440,87","6.449,90","6.468,91","6.415,09","","-0,14%"
"24.09.2024","6.449,90","6.374,35","6.456,54","6.374,35","","1,19%"
"23.09.2024","6.374,35","6.333,16","6.374,35","6.309,27","","0,80%"
"17.09.2024","6.323,95","6.351,31","6.364,11","6.319,91","","-0,36%"
"16.09.2024","6.346,81","6.351,31","6.359,64","6.319,91","","-0,07%"
"13.09.2024","6.351,31","6.343,16","6.373,65","6.326,26","","0,13%"
"12.09.2024","6.343,16","6.301,58","6.347,51","6.297,55","","0,66%"
"11.09.2024","6.301,88","6.214,86","6.319,81","6.214,86","","1,40%"
"10.09.2024","6.214,95","6.232,11","6.268,77","6.205,15","","-0,28%"
"09.09.2024","6.232,58","6.245,42","6.297,47","6.229,79","","-0,17%"
"06.09.2024","6.242,96","6.361,59","6.361,59","6.242,96","","-1,86%"
"05.09.2024","6.361,09","6.389,05","6.403,82","6.346,16","","-0,44%"
"04.09.2024","6.388,90","6.387,18","6.437,02","6.385,94","","0,04%"
"03.09.2024","6.386,58","6.456,25","6.456,73","6.375,33","","-1,10%"
"02.09.2024","6.457,74","6.459,96","6.471,05","6.437,93","","-0,03%"
"30.08.2024","6.459,96","6.448,28","6.486,18","6.429,19","","0,18%"
"29.08.2024","6.448,28","6.385,52","6.461,22","6.385,52","","0,98%"
"28.08.2024","6.385,52","6.379,46","6.411,04","6.364,69","","0,09%"
"27.08.2024","6.379,46","6.442,19","6.448,73","6.379,46","","-0,97%"
"26.08.2024","6.442,19","6.463,24","6.497,22","6.434,08","","-0,33%"
"23.08.2024","6.463,24","6.476,39","6.510,10","6.461,66","","-0,20%"
"22.08.2024","6.476,39","6.495,43","6.504,54","6.434,67","","-0,29%"
"21.08.2024","6.495,43","6.491,04","6.525,48","6.461,36","","0,07%"
"20.08.2024","6.491,04","6.458,78","6.510,85","6.458,38","","0,50%"
"19.08.2024","6.458,78","6.457,74","6.484,15","6.437,80","","0,22%"
"16.08.2024","6.444,38","6.405,12","6.475,02","6.404,31","","0,61%"
"14.08.2024","6.405,12","6.369,74","6.405,96","6.294,94","","0,56%"
"13.08.2024","6.369,74","6.326,05","6.374,86","6.326,05","","0,69%"
"12.08.2024","6.326,05","6.320,96","6.351,84","6.317,65","","0,08%"
"09.08.2024","6.320,96","6.293,62","6.341,62","6.293,62","","0,43%"
"08.08.2024","6.293,62","6.192,69","6.295,34","6.184,09","","1,63%"
"07.08.2024","6.192,69","6.178,55","6.263,88","6.174,68","","0,23%"
"06.08.2024","6.178,55","6.098,87","6.192,33","6.098,87","","1,31%"
"05.08.2024","6.098,87","6.315,46","6.315,46","6.082,02","","-3,43%"
"02.08.2024","6.315,46","6.418,15","6.418,15","6.290,44","","-1,60%"
"01.08.2024","6.418,15","6.440,56","6.453,68","6.379,61","","-0,35%"
"31.07.2024","6.440,56","6.466,13","6.502,40","6.440,56","","-0,40%"
"30.07.2024","6.466,13","6.486,19","6.494,73","6.466,13","","-0,31%"
